statename,Year,state_power_dem,de_ind,de_mor,de_trad,boat_prog,state,same_date,citi_1,inst6016_1,nominate_dim1,IPD,NBD,CCD,OPD,CPD,COD,CPR,NBR,IPR,OPR,CCR,COR,Split,Dem_Winner,Dem_2nd,Dem_3rd,Dem_4th,Dem_Other,Rep_Winner,Rep_2nd,Rep_3rd,Rep_4th,Rep_Other,Incumbent_D,Incumbent_R,changeD,changeR,PD,PR,primaryDem,primaryRep,IA_dummy,NH_dummy,South,South_ext,fedupperdem,fedupperother,fedtotalupper,fedlowerdem,fedlowerother,fedtotallower,senate_dem,senate_rep,house_dem,house_rep,house_D,house_R,house_D2,house_R2,changeD2,counter,favsonD,counter2,_spline1,zciti_1,zinst_1,zdiff_1,int_1,gov,sen_dem_in_sess,sen_tot_in_sess,hs_dem_in_sess,hs_tot_in_sess,house,sen,uni_dem,nom_y_dem,partyid_dd,z_Berry_State,z_Berry_Div,mood,z_Enns_Mood,z_Enns_Div,recipientcfscore,z_Bonica_CFScore,z_Bonica_Div,z_mood_cfscore_div,z_mood_Berry_div,Tashijan,swing,party_regist,_est_m2,_est_m1,_est_m4,_est_m3,_merge,pop,gdp,gdp_percap,density
Alabama,1972,.85781568,0,0,1,0,1,0,22.99286651611328,56.2374267578125,.12800001,0,0,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,0,1,0,0,1,1,3,3,0,0,1,1,2,0,2,5,0,8,1,0,.625,.375,1,,1,0,0,1,1,4,-53.333332,-1.5417942,.36421803,-.19017506,2.9430871,0,35,35,103,106,.97169811,1,1,-1.3516191,53.88493,-1.4762722,-.065521955,52.405998,.0051323441,1.3567514,,,,,,0,0,1,1,1,1,1,3,3521000,13623600128,3.8692417,68
Alabama,1976,.86378974,0,0,1,0,1,0,20.88055992126465,57.74647903442383,.15800001,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,0,0,1,1,1,1,5,5,0,0,1,1,2,0,2,4,0,7,1,0,.5714286,.42857143,,,0,0,1,2,1,8,-426.66666,-1.4770426,-.057546783,-.23353052,3.2991285,0,35,35,105,105,1,1,1,-1.243512,55.852119,-1.536396,.059353471,45.477001,.13684562,1.3803576,,,,,,0,0,1,1,1,1,1,3,3653000,21346000896,5.8434167,151.89999
Alabama,1980,.84946334,0,0,1,0,1,0,29.83551788330078,56.63983917236328,.13599999,0,0,0,1,0,0,0,0,0,1,0,0,0,81.59999999999999,13.2,4,0,1.2,69.7,25.9,.9,.9,2.6,1,0,0,0,1,1,5,5,0,0,1,1,2,0,2,4,0,7,1,0,.5714286,.42857143,,,0,0,0,0,0,0,0,-.71863693,.26984006,.46288568,4.0576301,0,35,35,101,105,.96190476,1,1,-1.1815226,55.72361,-1.3755872,.65695029,42.957001,1.2891903,2.4707129,-.2248181818181818,-1.7979395,1.0793025,3.0871298,2.6647775,0,1,1,1,1,1,1,3,3895000,33711900672,8.6551733,181.8
Alabama,1984,.7264865,0,0,1,0,1,0,35.09223175048828,54.59423065185547,.09533333,1,0,0,0,0,0,0,0,1,0,0,0,0,34.6,20.7,19.6,0,24.1,,,,,,0,1,-1,-1,1,1,4,4,0,0,1,1,1,0,2,5,0,7,.5,.5,.71428573,.2857143,1,,0,0,1,1,0,4,-53.333332,-.854904,-.0024631345,1.0242114,3.3454592,0,32,35,97,105,.92380953,.91428572,1,-1.8791153,53.815739,-1.9213363,1.0664322,45.896,1.6649529,3.5440683,-.1892777777777778,-1.9193072,1.0644033,3.58426,3.5862892,0,0,1,1,1,1,1,3,3991000,45678600192,11.445402,205.89999
Alabama,1988,.67716599,0,0,1,0,1,0,38.51693344116211,42.46370697021484,.093857139,1,0,0,0,0,0,0,0,1,0,0,0,0,7.7,43.6,37.4,0,11.3,64.5,16.3,13.9,0,5.2,0,0,0,0,1,1,4,4,0,0,1,1,2,0,2,5,0,7,1,0,.71428573,.2857143,1,,1,0,0,0,0,0,0,-.99935132,-.76710719,.92133695,3.6150892,1,30,35,89,105,.84761906,.85714287,0,-1.9206883,54.11795,-2.0300999,1.0307486,48.419998,1.3028455,3.2235336,-.0944444444444444,-1.7846195,.78526813,3.0874648,3.3329453,1,0,1,1,1,1,1,3,4103000,60751798272,14.806678,102.4
Alabama,1992,.55740285,0,0,1,0,1,1,39.80907821655273,42.75114822387695,.10528571,1,0,0,0,0,0,0,0,1,0,0,0,0,68.2,0,6.8,0,25,74.3,7.6,0,0,18.1,0,1,0,0,1,1,4,4,0,0,1,1,2,0,2,5,0,7,1,0,.71428573,.2857143,1,,1,0,0,1,0,4,-53.333332,-.6806801,-1.0736566,1.2194953,4.1913271,1,28,35,83,105,.7904762,.80000001,0,-1.9001753,55.338081,-1.9496731,1.2689929,45.801998,.73713112,2.6373065,-.1424137931034483,-2.0512938,1.3706138,2.788425,2.6868043,1,0,1,1,1,1,1,3,4138000,76043296768,18.376823,839.40002
Alabama,1996,.48568872,0,0,1,0,1,1,33.42988204956055,45.52942657470703,.23200001,1,0,0,0,0,0,0,0,1,0,0,0,0,79.90000000000001,0,0,0,20.1,74.90000000000001,15.7,0,0,9.4,1,0,0,0,1,1,4,4,0,0,1,1,1,0,2,4,0,7,.5,.5,.5714286,.42857143,,,0,0,0,2,0,8,-426.66666,-.83406252,-.10227206,-.075378239,7.755733,1,23,35,74,105,.70476192,.65714288,0,-.75868428,61.66074,-1.1423,.30823749,36.896,.77182633,1.5305107,-.1045454545454545,-1.7951312,.96106869,2.5669575,1.9141264,1,0,1,1,1,1,1,3,4291000,95819096064,22.330248,4.8000002
Alabama,2000,.53641111,0,0,1,0,1,1,43.83360290527344,67.07746887207031,.34350002,0,0,0,1,0,0,0,0,0,1,0,0,0,77,0,0,0,23,84.2,0,11.5,0,4.3,0,0,1,1,1,1,5,5,0,0,1,1,0,0,2,2,0,7,0,1,.2857143,.71428573,,1,0,0,1,3,0,12,-1376,-.46938914,1.4888586,-.82850564,15.056844,0,23,35,69,105,.65714288,.65714288,1,.35911646,68.831558,-.066892482,-.40249667,36.230999,2.0811193,1.7220029,.0079375,-1.3958412,.9264521,3.4769607,2.1480117,1,0,1,1,1,1,1,3,4447000,115030900736,25.867079,1001.4
Alabama,2004,.48293501,0,0,1,0,1,1,28.70806121826172,44.61770629882813,.20100001,0,0,0,1,0,0,0,0,0,1,0,0,0,75,0,0,0,25,92.8,0,0,0,7.2,0,1,0,0,1,1,5,5,0,0,1,1,0,0,2,2,0,7,0,1,.2857143,.71428573,,1,0,1,0,0,0,0,0,-1.4664116,-.262734,-.36940134,5.7703204,1,25,35,64,105,.60952383,.71428573,0,-1.0970103,61.59549,-1.2167985,-.24961305,39.845001,-.25104827,.84596199,.06476,-1.4580619,-.0083496571,1.2070136,.96575028,1,0,1,1,1,1,1,3,4509000,133739200512,29.660501,9.5
Alabama,2008,.42554948,0,0,1,0,1,0,47.25582504272461,44.0832405090332,.20100001,0,0,0,1,0,0,0,0,0,1,0,0,0,55.8,41.7,1.5,0,1,37.2,40.7,18.2,0,3.9,0,0,0,0,1,1,5,5,0,0,1,1,0,0,2,2,0,7,0,1,.2857143,.71428573,,1,0,1,0,1,0,4,-53.333332,-.83307523,-.39049822,.30684692,9.4984207,1,23,35,62,105,.59047621,.65714288,0,-1.1399221,,,,37.654999,-.87424958,.26567256,-.1493978494623656,-2.2396505,1.4065752,1.3654009,,1,0,1,1,1,1,1,3,4677000,169678405632,36.279327,265.60001
